task,kind,family,multiple,refinement,mean_percent,sd_percent,failures
diffusion2d,ndde4,new,1,2,0.3973,0.0866,0
diffusion2d,ndde4,new,2,2,0.5724,0.0688,0
diffusion2d,ndde4,new,4,2,0.6577,0.0713,0
diffusion2d,ndde4,new,8,2,0.7070,0.0700,0
diffusion2d,ndde4,shift,1,2,6.3696,1.4514,0
diffusion2d,ndde4,shift,2,2,6.8091,1.5596,0
diffusion2d,ndde4,shift,4,2,7.0463,1.6657,0
diffusion2d,ndde4,shift,8,2,7.3937,1.6810,0
diffusion2d,nie_mlp,new,1,2,1.8424,0.3582,0
diffusion2d,nie_mlp,new,2,2,2.3651,0.3427,0
diffusion2d,nie_mlp,new,4,2,2.7669,0.3549,0
diffusion2d,nie_mlp,new,8,2,2.8669,0.2893,0
diffusion2d,nie_mlp,shift,1,2,7.0978,0.3037,0
diffusion2d,nie_mlp,shift,2,2,7.3697,0.3149,0
diffusion2d,nie_mlp,shift,4,2,7.3740,0.3129,0
diffusion2d,nie_mlp,shift,8,2,7.5073,0.2900,0
diffusion2d,node32,new,1,2,3.8299,0.3020,0
diffusion2d,node32,new,2,2,13.9366,2.7720,0
diffusion2d,node32,new,4,2,41.9334,18.2534,0
diffusion2d,node32,new,8,2,106.9795,77.7896,0
diffusion2d,node32,shift,1,2,14.3839,1.9658,0
diffusion2d,node32,shift,2,2,18.3784,3.4868,0
diffusion2d,node32,shift,4,2,38.0164,18.2117,0
diffusion2d,node32,shift,8,2,97.4281,72.7682,0
diffusion2d,node8,new,1,2,1.0507,0.1952,0
diffusion2d,node8,new,2,2,4.1685,1.6497,0
diffusion2d,node8,new,4,2,18.0557,8.6111,0
diffusion2d,node8,new,8,2,64.7003,17.1185,0
diffusion2d,node8,shift,1,2,11.3319,0.9507,0
diffusion2d,node8,shift,2,2,10.8939,1.2451,0
diffusion2d,node8,shift,4,2,20.7200,7.2028,0
diffusion2d,node8,shift,8,2,62.6918,19.1683,0
relaxation,ndde4,new,1,2,0.8658,0.1332,0
relaxation,ndde4,new,2,2,1.0821,0.1337,0
relaxation,ndde4,new,4,2,1.2592,0.1466,0
relaxation,ndde4,new,8,2,1.3501,0.1661,0
relaxation,ndde4,shift,1,2,10.5419,0.2812,0
relaxation,ndde4,shift,2,2,12.4112,0.3246,0
relaxation,ndde4,shift,4,2,13.0519,0.4180,0
relaxation,ndde4,shift,8,2,13.0739,0.5723,0
relaxation,nie_exp,new,1,2,1.0663,0.0185,0
relaxation,nie_exp,new,2,2,1.2341,0.0301,0
relaxation,nie_exp,new,4,2,1.7182,0.3230,0
relaxation,nie_exp,new,8,2,2.6948,1.7359,0
relaxation,nie_exp,shift,1,2,2.7859,0.1891,0
relaxation,nie_exp,shift,2,2,3.2985,0.2188,0
relaxation,nie_exp,shift,4,2,3.7192,0.1855,0
relaxation,nie_exp,shift,8,2,4.5804,1.5227,0
relaxation,node32,new,1,2,3.4420,0.1630,0
relaxation,node32,new,2,2,11.5590,0.5672,0
relaxation,node32,new,4,2,37.3827,3.7060,0
relaxation,node32,new,8,2,85.8539,17.5482,0
relaxation,node32,shift,1,2,14.9437,1.2070,0
relaxation,node32,shift,2,2,25.2304,2.8569,0
relaxation,node32,shift,4,2,63.9209,13.4991,0
relaxation,node32,shift,8,2,157.9580,53.0470,0
relaxation,node8,new,1,2,0.6250,0.1065,0
relaxation,node8,new,2,2,1.3890,0.2824,0
relaxation,node8,new,4,2,4.1403,0.9768,0
relaxation,node8,new,8,2,10.8145,6.7622,0
relaxation,node8,shift,1,2,6.3613,1.6691,0
relaxation,node8,shift,2,2,7.4197,1.2846,0
relaxation,node8,shift,4,2,9.3053,0.4522,0
relaxation,node8,shift,8,2,15.6365,4.6793,0
wave1d,ndde4,new,1,2,2.7142,0.2083,0
wave1d,ndde4,new,1,4,2.7182,0.2058,0
wave1d,ndde4,new,2,2,3.3138,0.2788,0
wave1d,ndde4,new,2,4,3.3160,0.2736,0
wave1d,ndde4,new,4,2,3.2437,0.3125,0
wave1d,ndde4,new,4,4,3.2444,0.3050,0
wave1d,ndde4,new,8,2,3.1518,0.2994,0
wave1d,ndde4,new,8,4,3.1512,0.2907,0
wave1d,ndde4,shift,1,2,72.9798,2.8719,0
wave1d,ndde4,shift,1,4,72.9856,2.8768,0
wave1d,ndde4,shift,2,2,72.0631,3.7244,0
wave1d,ndde4,shift,2,4,72.0751,3.7280,0
wave1d,ndde4,shift,4,2,72.1081,4.3293,0
wave1d,ndde4,shift,4,4,72.1247,4.3321,0
wave1d,ndde4,shift,8,2,72.5978,4.7187,0
wave1d,ndde4,shift,8,4,72.6178,4.7213,0
wave1d,nie_mlp,new,1,2,3.6820,0.2192,0
wave1d,nie_mlp,new,1,4,3.6948,0.2147,0
wave1d,nie_mlp,new,2,2,3.8619,0.2156,0
wave1d,nie_mlp,new,2,4,3.8898,0.2103,0
wave1d,nie_mlp,new,4,2,3.4610,0.1662,0
wave1d,nie_mlp,new,4,4,3.5005,0.1622,0
wave1d,nie_mlp,new,8,2,3.2514,0.1516,0
wave1d,nie_mlp,new,8,4,3.2976,0.1481,0
wave1d,nie_mlp,shift,1,2,76.7144,4.8058,0
wave1d,nie_mlp,shift,1,4,76.5117,4.8087,0
wave1d,nie_mlp,shift,2,2,87.3920,6.4695,0
wave1d,nie_mlp,shift,2,4,87.0454,6.4634,0
wave1d,nie_mlp,shift,4,2,100.7790,7.4392,0
wave1d,nie_mlp,shift,4,4,100.3306,7.3459,0
wave1d,nie_mlp,shift,8,2,105.5974,11.6934,0
wave1d,nie_mlp,shift,8,4,104.9168,11.1833,0
wave1d,node32,new,1,2,14.8219,2.9874,0
wave1d,node32,new,2,2,39.1857,8.4467,0
wave1d,node32,new,4,2,96.3443,17.6518,0
